Title,Core Ability
Cảnh sát giao thông và đường sắt,"Nhạy bén với vấn đề (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Phát âm rõ ràng (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Diễn đạt bằng văn bản (3.75), Tầm nhìn xa (3.75), Tầm nhìn gần (3.75), Nhận diện giọng Diễn đạt (3.62)"
Hướng dẫn du lịch,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (3.88), Nhận diện giọng Diễn đạt (3.88), Phát âm rõ ràng (3.88)"
Đại lý bán bảo hiểm,"Hiểu ngôn ngữ Diễn đạt (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng lời (4.0), Phát âm rõ ràng (3.75), Diễn đạt bằng văn bản (3.62), Nhận diện giọng Diễn đạt (3.62), Tầm nhìn gần (3.5)"
Môi giới bất động sản,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (3.62), Nhận diện giọng Diễn đạt (3.62), Tầm nhìn gần (3.62), Phát âm rõ ràng (3.62), Diễn đạt bằng văn bản (3.5)"
Đại lý bán bất động sản,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (3.88), Nhận diện giọng Diễn đạt (3.88), Phát âm rõ ràng (3.88)"
Phi công thương mại,"Tốc độ nhận thức (4.12), Tầm nhìn gần (4.12), Nhạy bén với vấn đề (4.12), Sự chính xác khi điều khiển (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Cảm nhận độ sâu (4.0), Tầm nhìn xa (4.0), Thời gian phản ứng (4.0), Tập trung có chọn lọc (4.0), Định hướng phản ứng (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Khả năng sắp xếp thông tin (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Diễn đạt bằng lời (4.0), Định hướng không gian (3.88), Sự phối hợp đa chi (3.88), Đọc hiểu văn bản (3.88), Kiểm soát nhịp độ/tốc độ (3.88), Nhận diện giọng Diễn đạt (3.75), Phát âm rõ ràng (3.75), Khả năng đa nhiệm (Time Sharing) (3.62), Linh hoạt nhận dạng (3.5)"
"Thuyền trưởng, thuyền phó và hoa tiêu của tàu nước","Hiểu ngôn ngữ Diễn đạt (3.88), Diễn đạt bằng lời (3.88), Định hướng không gian (3.75), Tầm nhìn xa (3.75), Nhạy bén với vấn đề (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Tầm nhìn gần (3.62), Đọc hiểu văn bản (3.62), Sự chính xác khi điều khiển (3.62), Sự vững vàng tay/cánh tay (3.62), Phát âm rõ ràng (3.62), Nhận diện giọng Diễn đạt (3.5), Tốc độ nhận thức (3.5), Suy luận quy nạp (Logic từ riêng đến chung) (3.5), Khả năng sắp xếp thông tin (3.5)"
Nhà khoa học dữ liệu,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Khả năng sắp xếp thông tin (3.75), Diễn đạt bằng văn bản (3.75), Tầm nhìn gần (3.75), Phát âm rõ ràng (3.62)"
Chuyên gia kiểm thử xâm nhập,"Hiểu ngôn ngữ Diễn đạt (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng văn bản (3.88), Khả năng sắp xếp thông tin (3.88), Diễn đạt bằng lời (3.75), Tầm nhìn gần (3.75), Linh hoạt phân loại (3.5)"
Kỹ sư Blockchain,"Hiểu ngôn ngữ Diễn đạt (3.75), Diễn đạt bằng lời (3.75), Nhạy bén với vấn đề (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Tầm nhìn gần (3.75), Đọc hiểu văn bản (3.75), Khả năng sắp xếp thông tin (3.62), Diễn đạt bằng văn bản (3.5), Suy luận quy nạp (Logic từ riêng đến chung) (3.5), Linh hoạt phân loại (3.5)"
Chuyên viên phân tích pháp y kỹ thuật số,"Hiểu ngôn ngữ Diễn đạt (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng văn bản (3.88), Khả năng sắp xếp thông tin (3.88), Diễn đạt bằng lời (3.75), Tầm nhìn gần (3.75), Linh hoạt phân loại (3.5)"
Nhà thiết kế giao diện web và kỹ thuật số,"Sự sáng tạo/Tính nguyên bản (4.0), Lưu loát ý tưởng (3.88), Tầm nhìn gần (3.88), Đọc hiểu văn bản (3.75), Hiểu ngôn ngữ Diễn đạt (3.62), Diễn đạt bằng lời (3.5), Diễn đạt bằng văn bản (3.5)"
Nhà phân tích tài chính và đầu tư,"Hiểu ngôn ngữ Diễn đạt (4.12), Diễn đạt bằng lời (4.12), Đọc hiểu văn bản (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Phát âm rõ ràng (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Nhạy bén với vấn đề (3.88), Diễn đạt bằng văn bản (3.88), Tầm nhìn gần (3.75), Khả năng sắp xếp thông tin (3.75), Nhận diện giọng Diễn đạt (3.75), Suy luận toán học (3.5), Nhanh nhạy với con số (3.5)"
